booking_id,flight_id,passenger_id,booking_date,seat_no,class,payment_status,amount
70,666,1516,2024-03-09,1F,Business,Pending,11041
71,456,1904,2025-01-19,8F,Business,Paid,8260
72,210,1914,2025-01-07,35C,Economy,Paid,13059
73,525,1296,2024-02-24,22A,Business,Failed,13427
74,676,1168,2024-03-25,19D,First,Failed,2478
75,1002,435,2025-08-14,11D,Economy,Failed,3310
76,896,1475,2025-09-13,1F,First,Paid,14823
77,1004,916,2024-11-12,17E,Business,Failed,2413
78,1600,2276,2024-06-12,12E,Economy,Paid,5936
79,2355,545,2025-09-06,7F,First,Failed,19778
80,60,1238,2025-09-16,20F,Business,Paid,19022
81,386,648,2024-09-08,33E,First,Pending,13636
82,2104,2296,2024-05-31,13B,Business,Pending,16374
83,2216,1432,2024-12-01,24B,First,Failed,18736
84,1436,1077,2025-01-02,35E,Business,Paid,13340
85,1795,1600,2025-08-22,1E,First,Pending,17317
86,1943,2362,2024-04-09,21D,Economy,Pending,13780
87,1591,37,2024-04-29,2A,Business,Failed,18523
88,2388,724,2025-01-19,24C,Business,Failed,10443
89,796,1548,2024-10-29,16A,First,Paid,10860
90,892,980,2025-12-16,16E,Business,Pending,9242
91,1283,84,2024-05-28,6A,Economy,Paid,3052
92,601,1118,2024-07-19,32A,First,Paid,17400
93,2485,1366,2024-01-03,35B,First,Failed,3343
94,1246,719,2025-02-03,9F,First,Paid,18953
95,1437,550,2024-03-08,31E,Economy,Paid,18262
96,1374,1372,2024-06-02,11C,Economy,Pending,5916
97,1083,587,2025-05-08,34E,Business,Paid,11192
98,152,1865,2024-06-30,28B,First,Pending,4923
99,934,152,2025-06-08,35F,Economy,Pending,12428
100,2273,1062,2024-07-07,13F,Business,Paid,6545
101,1342,2213,2024-01-20,20D,Economy,Paid,16429
102,558,1568,2024-10-09,24D,Economy,Pending,5925
103,1498,212,2024-01-10,34D,Economy,Paid,5392
104,1870,742,2025-11-30,8B,Business,Pending,6355
105,618,2180,2025-06-14,15A,Economy,Paid,7332
106,1820,96,2025-10-16,22A,Economy,Pending,6547
107,24,1527,2025-09-06,38E,Economy,Pending,8915
108,1543,522,2024-10-29,15E,First,Failed,17849
109,2416,2422,2024-08-28,15A,Economy,Paid,13865
110,2020,1040,2024-05-31,5F,First,Pending,11743
111,999,1703,2024-12-02,4B,Economy,Pending,3682
112,2383,18,2024-07-06,5A,First,Paid,18768
113,1457,1720,2025-04-08,22A,Economy,Paid,15729
114,3,978,2025-12-22,33B,First,Paid,5036
115,1008,879,2024-06-25,18F,First,Failed,12458
116,1282,594,2025-12-06,32B,First,Paid,6652
117,263,643,2024-06-25,35B,Economy,Failed,6445
118,121,2177,2025-02-18,37E,Business,Paid,18773
119,1744,801,2025-07-31,31B,First,Failed,17139
120,21,455,2024-11-05,31D,First,Paid,3142
121,905,1610,2024-01-02,13A,First,,19129
122,140,876,2024-11-12,7F,First,Pending,3730
123,1816,1096,2025-05-23,28C,First,Failed,6123
124,1313,1014,2025-07-25,28D,Business,Failed,5230
125,206,1111,2025-01-02,30F,Economy,Pending,13408
126,43,2449,2025-07-08,4F,Business,Paid,10299
127,1029,462,2025-08-27,7A,Economy,Pending,15178
128,2255,2137,2024-08-13,26F,Business,Pending,10968
129,1863,2054,2025-04-24,22A,Economy,,9992
130,345,945,2024-03-03,16B,First,Failed,12125
131,1166,84,2024-10-06,13E,Economy,Pending,10629
132,2420,1440,2024-01-14,29B,Economy,Paid,11226
133,1388,1136,2024-01-28,28B,First,Failed,19220
134,984,2220,2024-05-21,18D,First,Failed,6702
135,335,699,2025-09-11,16A,Economy,Pending,2641
136,2059,1821,2025-08-12,29E,Economy,Failed,5174
137,2123,2321,2025-04-17,7A,First,Paid,5875
138,1324,530,2025-06-07,35A,Business,Failed,10834
139,776,319,2024-07-02,6B,First,Pending,10894
140,886,1099,2024-11-12,11D,Economy,Pending,4848
141,2036,2477,2024-12-26,32D,Economy,Pending,18077
142,736,249,2025-03-20,14D,Economy,Failed,5612
143,1052,387,2024-10-22,4B,First,Pending,9062
144,1487,1958,2025-02-07,25A,First,Failed,11914
145,396,1891,2024-09-19,25C,Business,Pending,4554
146,683,363,2025-01-11,30C,Economy,Pending,3462
147,2002,2116,2025-08-07,28F,Economy,Pending,8811
148,2469,2486,2024-03-08,36F,First,Paid,13974
149,364,1556,2025-04-15,32B,Economy,Paid,2510
150,1855,1807,2024-02-16,13C,Business,Pending,4156
151,1782,296,2024-02-27,14A,First,Pending,4919
152,93,1992,2024-01-24,38F,Economy,Failed,8632
153,1599,2081,2024-10-16,35A,First,Failed,10924
154,266,1398,2025-03-19,21A,First,Paid,13142
155,2254,32,2025-02-06,4E,Business,Failed,14152
156,2085,555,2024-01-24,31E,First,Failed,3237
157,1035,305,2024-03-04,34B,Economy,Failed,19864
158,1114,793,2025-10-21,4E,Business,Failed,12657
159,744,1132,2025-09-19,6B,First,Paid,8897
160,2067,96,2025-09-01,5E,Economy,Paid,7629
161,374,1090,2024-08-26,5F,First,Failed,12951
162,1810,230,2024-10-09,16D,First,Failed,17768
163,94,358,2025-03-17,8E,Business,Paid,2577
164,32,402,2024-10-26,16E,Business,Pending,15369
165,140,790,2024-04-02,39A,Business,Failed,13688
166,1594,99,2025-07-30,40A,Business,Pending,19202
167,1243,271,2025-01-09,27F,Economy,Failed,9188
168,1565,1799,2025-11-16,38E,First,Paid,16135
169,1583,362,2024-11-05,34C,Business,Failed,3889
170,1932,1188,2024-06-15,17B,Economy,Pending,2558
171,58,540,2024-01-07,21B,Business,Paid,15994
172,1299,1866,2024-02-12,17D,First,Failed,16443
173,2188,833,2024-12-05,9F,Business,Failed,7949
174,1047,2445,2024-06-01,20D,First,Paid,9643
175,378,1060,2024-02-12,21A,First,Failed,18453
176,922,314,2025-12-25,1D,Economy,Paid,19573
177,373,1300,2024-07-19,40E,Business,Failed,4902
178,1588,233,2025-10-28,7A,Business,Paid,15762
179,778,1640,2025-10-26,35B,First,Failed,13308
180,1366,1030,2025-07-01,33C,Business,Paid,7895
181,167,244,2024-08-13,9C,First,Paid,9550
182,2012,2289,2025-09-24,5B,Economy,,5910
183,584,2123,2025-06-04,24C,Business,Paid,13964
184,999,2331,2024-12-04,11D,First,Failed,4155
185,560,1559,2024-11-30,35F,Business,Failed,9956
186,1012,87,2024-06-29,20E,Business,Failed,15741
187,233,881,2025-06-16,34A,Economy,Paid,11563
188,560,1173,2024-09-28,36C,First,Failed,17466
189,1232,160,2024-07-12,7B,Economy,Paid,16213
190,1763,2494,2025-06-21,17A,Economy,Pending,6351
191,1525,2130,2025-04-25,7F,Economy,Pending,9468
192,921,2230,2024-04-07,36B,First,Pending,15241
193,1243,1550,2025-03-05,18C,First,Failed,16897
194,81,478,2025-05-26,39B,Business,Paid,6455
195,703,2231,2025-12-31,22B,First,Failed,9691
196,541,1580,2024-11-22,17E,Economy,Paid,19597
197,1850,2222,2025-07-31,32C,First,Pending,12332
198,1275,2062,2025-02-19,4A,Business,Pending,15441
199,622,1961,2024-04-20,28C,Economy,Pending,11052
200,1241,2121,2024-07-30,3A,Business,Failed,11181
201,2244,1746,2025-11-13,22B,First,Failed,14771
202,1321,602,2025-07-24,17B,Business,Paid,4923
203,2092,2391,2024-01-30,29E,Business,Paid,19816
204,2441,1420,2024-09-23,28E,First,Pending,2340
205,1467,1919,2025-10-27,1A,Business,Failed,12569
206,1114,333,2024-12-15,5F,First,Failed,16206
207,2203,355,2025-05-28,10E,Economy,Paid,3198
208,1645,847,2025-11-11,3C,Business,Paid,6296
209,59,163,2024-08-01,38E,Economy,Failed,17976
210,2158,116,2024-09-07,10D,First,Failed,15030
211,479,1103,2025-06-26,9A,First,Paid,17462
212,1923,1471,2024-11-14,20C,Business,Failed,17510
213,1757,1907,2024-07-01,3C,Business,Failed,11483
214,1799,1047,2024-07-07,14F,First,Pending,6934
215,1618,543,2025-12-25,16F,First,Failed,13831
216,784,414,2024-05-06,7C,Economy,Failed,8073
217,1401,682,2024-10-22,36D,Economy,Failed,18839
218,1056,642,2024-01-23,40F,Business,Paid,7853
219,1510,1433,2025-06-13,10B,Business,Pending,5250
220,1027,669,2024-03-19,11B,Business,Paid,2257
221,378,2070,2025-06-29,27A,Business,Pending,18865
222,572,969,2025-04-14,12F,Business,Pending,6730
223,1955,1705,2025-09-10,22D,Business,Failed,13305
224,1565,1181,2024-10-31,16C,Business,Pending,19780
225,587,2378,2025-03-23,11F,Business,Pending,7418
226,1619,1046,2024-07-17,7D,Economy,Failed,7171
227,357,1496,2024-07-09,3D,First,Failed,12818
228,685,1288,2024-08-19,15B,First,Pending,8202
229,1947,1799,2025-07-27,30C,Business,Paid,16639
230,659,724,2025-07-07,20B,First,Pending,8178
231,1297,1160,2024-01-24,15A,Business,Paid,19031
232,1526,252,2025-11-05,13D,Economy,Paid,15298
233,2083,205,2025-04-05,22C,Business,Pending,3611
234,1694,1880,2024-07-01,5C,Economy,Paid,15908
235,1658,791,2025-03-08,23F,Economy,Pending,5586
236,512,1085,2025-08-29,33D,Economy,Paid,8080
237,1072,465,2024-03-23,35C,Business,Paid,14781
238,2321,1842,2024-04-02,2A,Economy,Pending,19142
239,1637,1326,2024-10-04,17B,Business,Failed,15971
240,1013,1496,2025-09-08,38C,Economy,Failed,19016
241,1152,394,2024-03-25,3A,Economy,Pending,2329
242,210,1631,2025-07-26,39D,First,Pending,7446
243,624,2029,2024-07-26,23F,Business,Failed,14245
244,1806,912,2025-10-31,21D,First,Failed,12366
245,1166,1283,2025-08-03,39E,Economy,Paid,19368
246,173,1211,2025-03-19,8D,First,Paid,2668
247,1889,1236,2025-01-04,37B,Economy,Paid,15326
248,447,1059,2025-10-12,17A,First,Failed,16822
249,11,1171,2025-04-20,28A,First,Pending,18825
250,761,1273,2025-05-18,34E,Business,Paid,6020
251,1328,57,2024-08-18,13C,Business,Pending,5126
252,1784,1893,2024-12-25,28A,First,Failed,4933
253,1178,1749,2025-07-16,22E,First,Paid,5806
254,2371,361,2024-01-19,21F,Business,Failed,17095
255,977,2282,2025-11-20,8F,Economy,Pending,10066
256,2493,1949,2024-07-27,20E,Economy,Paid,13509
257,2390,223,2024-05-10,20F,Economy,Pending,10261
258,2269,1640,2025-01-18,27C,Economy,Pending,14768
259,2158,327,2024-04-01,26F,First,Paid,6585
260,2458,1122,2025-06-26,19E,Economy,Paid,7817
261,1801,1250,2024-12-27,9B,First,Failed,2116
262,40,1758,2024-05-03,27F,First,Paid,17616
263,1483,836,2025-10-09,25F,Economy,Paid,16942
264,2311,985,2024-09-29,12E,Economy,Paid,19287
265,1850,1358,2024-12-20,37C,Economy,Paid,10685
266,823,792,2024-04-09,26E,Business,Paid,5858
267,461,1887,2025-12-31,1C,First,Failed,16138
268,1142,382,2025-09-07,19B,Economy,Pending,5730
269,217,1447,2024-10-27,28E,Business,Failed,8628
270,1741,1372,2025-08-31,39F,First,Pending,14882
271,2125,1875,2024-07-21,21D,First,Paid,7443
272,1445,2500,2024-01-21,29D,First,Failed,3540
273,1196,2009,2024-07-16,14E,Economy,Pending,10088
274,2438,1143,2024-04-21,31F,Economy,Pending,9959
275,1152,214,2024-05-28,11F,First,Paid,16464
276,374,565,2025-01-15,6C,First,Paid,19009
277,654,732,2024-07-01,33F,Business,Pending,14571
278,904,439,2024-12-02,40C,Business,Failed,17406
279,744,1589,2024-12-03,6B,First,Pending,15499
280,2471,629,2024-10-26,20B,Business,Failed,8162
281,853,903,2025-08-23,13B,First,Failed,8797
282,1771,1471,2024-08-09,2A,Business,Pending,6858
283,831,395,2025-02-12,16D,First,Failed,2837
284,1562,247,2025-11-19,40A,Economy,Pending,4015
285,973,2296,2024-04-27,30D,First,Pending,17625
286,1294,1637,2024-06-22,37B,Economy,Paid,9234
287,1353,1473,2024-08-06,25D,First,Pending,6748
288,1319,2132,2025-01-10,26B,Economy,Pending,2063
289,122,1245,2025-12-30,10F,Business,Paid,10221
290,159,2099,2024-11-14,1A,Economy,Paid,4325
291,307,981,2025-08-11,28B,Business,Failed,7850
292,1113,1211,2024-03-28,12F,First,Failed,6372
293,751,1549,2024-03-18,34D,Business,Paid,4879
294,1062,419,2025-03-16,4E,Business,Paid,4188
295,1897,2135,2024-07-19,16A,Business,Paid,14313
296,591,259,2025-07-29,30B,First,Pending,18659
297,1881,2359,2025-02-18,30F,Economy,Pending,16908
298,346,2221,2024-01-04,34E,Business,Pending,19650
299,149,1520,2024-03-23,39C,First,Paid,8576
300,1040,1269,2025-12-05,29E,Business,Failed,6104
301,1391,940,2025-05-07,33D,Economy,Failed,13135
302,781,2377,2024-01-06,36D,Business,Pending,17204
303,118,196,2025-12-05,11F,Business,Pending,4319
304,704,62,2025-12-29,31D,Business,Paid,18415
305,2365,562,2024-12-12,17B,Economy,Paid,19235
306,288,40,2025-06-17,18E,Economy,Failed,17838
307,1375,1768,2025-10-18,32F,First,Failed,12256
308,2345,2038,2025-03-26,16C,Business,Paid,9720
309,2025,1876,2024-05-24,29A,Business,Failed,13736
310,443,788,2024-01-02,19B,Business,Failed,3807
311,901,1877,2024-10-14,18C,Business,Pending,14051
312,301,2,2024-08-12,21E,Economy,Paid,8063
313,2474,1493,2025-03-12,6B,Economy,Paid,12390
314,250,1130,2024-08-01,10B,Business,Paid,5562
315,1958,2264,2024-06-14,25F,Business,Pending,6504
316,1767,777,2025-01-07,10F,Business,Paid,9985
317,1539,1783,2025-10-14,14A,Business,Failed,12084
318,686,414,2025-05-21,27D,First,Pending,14631
319,998,210,2025-07-29,22E,First,Pending,18325
320,406,1964,2024-11-28,30D,Business,Paid,16006
321,244,2091,2024-07-30,4B,Business,Failed,6123
322,2415,2186,2024-10-15,27D,Business,Paid,13292
323,2168,1645,2025-09-01,38F,First,Failed,14921
324,1606,1584,2024-06-14,2E,Economy,Paid,13880
325,433,726,2024-05-05,25D,First,Failed,7599
326,183,1413,2024-06-05,1C,First,Failed,2071
327,1485,1222,2025-07-26,20D,Business,Failed,12349
328,1142,2250,2024-02-01,27E,Business,Pending,7516
329,31,2240,2024-09-30,35E,Economy,Paid,14519
330,1173,107,2024-10-27,15D,Business,Paid,14269
331,1297,327,2024-01-21,15C,Business,Paid,10234
332,1904,644,2025-06-07,28D,Economy,Pending,6360
333,102,357,2025-09-06,2D,Business,Failed,3831
334,1096,1308,2024-10-02,22F,Business,Pending,18429
335,1729,508,2024-01-07,26F,Business,Pending,9392
336,2456,2154,2025-03-30,11D,First,Failed,9268
337,1391,1090,2024-05-09,9E,Business,Paid,13544
338,830,195,2024-10-25,35A,First,Pending,8381
339,618,1212,2024-04-06,26E,Business,Failed,11461
340,291,47,2024-10-03,37F,Business,Failed,8834
341,2470,1386,2024-10-11,2A,First,Paid,3012
342,181,1602,2024-06-21,28B,First,Failed,16772
343,2162,1511,2024-11-27,30B,Business,Failed,6802
344,1262,847,2024-07-23,4C,Economy,Failed,9530
345,260,1603,2024-04-12,25C,Business,Paid,12197
346,2292,709,2025-09-16,14D,First,Paid,4317
347,2471,808,2024-12-25,21C,Business,Failed,14830
348,335,115,2024-05-10,25C,Business,Failed,13321
349,1047,631,2024-02-08,27C,First,Paid,7225
350,1897,2267,2024-11-02,6D,Economy,Paid,8228
351,271,197,2025-06-03,2F,Economy,Paid,16786
352,1408,401,2024-02-15,35A,First,Pending,11656
353,1401,2040,2024-07-12,23B,First,Paid,15533
354,1010,76,2025-06-01,5F,Business,Failed,13233
355,1462,1450,2025-07-23,3A,First,Paid,11250
356,1605,287,2024-06-17,16B,First,Failed,8812
357,132,1569,2024-05-01,2E,Business,Failed,15275
358,1745,1323,2024-09-05,10B,Business,Failed,9824
359,1546,861,2024-07-25,9D,Business,Paid,7455
360,135,742,2024-04-24,8E,Economy,Paid,17792
361,767,1731,2024-08-26,14D,Economy,Paid,12005
362,770,2342,2025-07-19,17C,First,Paid,3502
363,2142,809,2024-03-16,11E,Business,Paid,9042
364,1908,1960,2024-06-17,39F,First,Pending,13543
365,1265,414,2024-02-17,8B,First,Paid,17556
366,1773,431,2024-03-10,20A,Economy,Pending,3248
367,165,1814,2025-05-22,38A,Economy,Failed,7010
368,325,1254,2024-06-03,20E,First,Failed,8305
369,620,1919,2025-07-12,25D,Business,Failed,4139
370,231,2219,2025-04-05,13A,Economy,Failed,15569
371,1203,1341,2025-01-07,38F,Economy,Pending,12989
372,1378,544,2024-07-20,16A,Economy,Pending,15960
373,1892,1515,2025-10-15,20F,First,Failed,3152
374,403,1412,2024-11-12,39A,Economy,Paid,5744
375,2169,72,2025-03-26,37A,Business,Failed,15472
376,385,1023,2025-09-29,23E,Economy,Failed,17764
377,1764,532,2025-10-26,28F,First,Pending,5907
378,1449,2287,2025-07-30,24A,First,Failed,15225
379,1191,577,2024-04-05,33F,First,Pending,13603
380,389,1113,2025-11-23,22A,First,Pending,11483
381,1547,1946,2025-05-10,27D,Business,Failed,4860
382,1774,713,2024-12-27,7D,First,Paid,2163
383,790,1559,2025-04-01,24F,Economy,Pending,3714
384,1495,642,2024-06-26,30F,Business,Pending,5462
385,1548,2238,2024-05-08,10D,First,Pending,19824
386,2101,812,2025-05-04,12F,First,,12287
387,821,1015,2024-02-08,34F,Business,Failed,8227
388,1045,1363,2025-04-02,18E,Economy,Pending,2233
389,1043,2022,2024-12-15,35D,Business,Paid,3876
390,1880,1541,2025-10-06,30D,Economy,Failed,11153
391,862,1862,2025-03-27,38C,Economy,Paid,17183
392,1480,784,2025-01-14,21B,First,Paid,8339
393,2370,671,2024-04-18,6C,Business,Failed,15193
394,2481,847,2025-08-06,29B,Business,Pending,19429
395,1795,1242,2024-07-26,30E,First,Paid,8091
396,1464,1278,2025-07-30,40F,First,Pending,6481
397,1908,1385,2024-08-28,25C,Economy,Paid,16312
398,2106,1765,2025-08-13,2D,First,Pending,6459
399,751,178,2024-03-28,21B,Business,Failed,10033
400,1317,276,2025-02-02,32B,First,Paid,8417
401,182,2360,2025-11-20,23C,First,Paid,19791
402,1905,1666,2024-09-18,22C,First,Paid,2207
403,961,791,2025-07-31,39F,First,Pending,6370
404,105,1677,2024-11-20,18E,First,Paid,11944
405,1285,1425,2025-01-05,1E,Economy,Paid,10687
406,990,1241,2024-04-14,13A,First,Pending,19285
407,484,27,2024-04-07,16F,First,Pending,13790
408,1726,2470,2025-05-01,27D,Business,Failed,6489
409,2177,2373,2024-04-05,36B,First,Pending,11108
410,2367,1348,2025-04-16,31F,Business,Paid,8582
411,707,1591,2024-02-15,32D,Business,Paid,17738
412,20,1727,2024-01-31,2A,Business,Failed,10030
413,752,285,2025-02-11,19B,Business,Failed,13593
414,235,1113,2025-01-09,26F,Economy,Paid,4194
415,1621,1069,2025-01-16,16C,Economy,Pending,19343
416,606,912,2025-12-16,38C,Business,Paid,12349
417,554,1815,2025-10-21,31E,Economy,Failed,10585
418,1900,2193,2025-10-05,34C,Economy,Paid,13824
419,586,82,2025-11-28,28F,First,Paid,15493
420,984,980,2025-12-01,36C,Economy,Paid,15884
421,1651,1191,2025-05-03,23F,Business,Failed,6538
422,423,1773,2025-09-30,30C,Business,Failed,6842
423,2054,1826,2024-11-04,20C,Business,Failed,17089
424,458,1774,2025-08-21,15A,Business,Pending,9570
425,1915,1334,2025-09-24,13C,First,Failed,10696
426,846,2008,2024-05-14,8F,Economy,Pending,19103
427,551,82,2024-11-23,35F,Business,Pending,7773
428,1421,94,2024-07-17,12B,First,Failed,17376
429,1995,1345,2025-11-13,14F,Business,Pending,4878
430,2059,343,2024-09-16,31C,Economy,Pending,10825
431,1646,2409,2024-05-03,38E,First,Paid,14569
432,497,1855,2025-08-05,39C,Economy,Pending,17586
433,2091,1090,2025-01-16,7B,First,Pending,19708
434,539,624,2025-05-21,19B,Business,Failed,19392
435,568,868,2025-07-24,24B,Business,Paid,12525
436,121,2477,2024-04-18,20A,Economy,Pending,13412
437,316,171,2024-02-10,35B,Economy,Pending,18787
438,1139,1783,2025-03-20,18A,First,Pending,13382
439,621,578,2024-05-25,4E,Economy,Failed,14039
440,454,68,2025-07-17,19F,Economy,Failed,18098
441,612,1516,2024-06-24,9F,Business,Paid,8772
442,1544,1058,2024-10-05,32A,Business,Pending,8590
443,959,1,2025-01-14,1E,Business,Paid,16647
444,2009,2199,2024-06-13,19D,Business,Failed,17677
445,647,902,2025-04-30,31D,Business,Pending,18504
446,763,1808,2025-09-06,22B,Business,Pending,8460
447,1361,2306,2025-07-18,4C,Business,Paid,8281
448,240,750,2024-12-26,31A,First,Pending,5731
449,1410,795,2024-06-21,5D,Business,Failed,15965
450,1169,2067,2024-06-25,32A,Business,Paid,13768
451,2425,1820,2024-02-18,37F,Business,Paid,17104
452,2052,2083,2024-04-20,4B,Business,Pending,8635
453,197,371,2024-07-28,10E,Business,Failed,13498
454,2437,2055,2025-11-17,20A,Economy,Pending,7361
455,261,371,2025-09-10,16A,Economy,Paid,19849
456,1795,1689,2025-10-26,36D,Business,Paid,12427
457,1958,757,2024-06-03,39E,Business,Failed,18787
458,94,1139,2025-10-13,40B,Business,Paid,8570
459,1281,1361,2025-10-24,34D,First,Failed,8346
460,136,1166,2024-09-29,29D,Business,Pending,10408
461,2004,1509,2025-07-09,20E,First,Failed,17674
462,1202,1462,2025-08-05,28C,First,Pending,17976
463,2160,2136,2025-09-28,37E,Business,Pending,16838
464,1288,463,2025-10-25,4E,Economy,Paid,15086
465,369,481,2025-03-30,7B,Business,Pending,2805
466,936,823,2024-11-11,14C,Business,Paid,9420
467,768,524,2024-08-02,6B,Economy,Failed,11379
468,673,2259,2024-11-25,16B,Economy,Failed,15806
469,511,244,2024-05-23,36A,Business,Pending,6257
470,713,239,2025-09-10,11A,Business,Failed,3995
471,820,1221,2024-12-19,27D,First,Pending,16163
472,2425,769,2024-10-07,39D,Economy,Failed,6995
473,545,235,2024-11-17,19A,First,Pending,3155
474,2121,2235,2024-11-01,15C,First,Pending,10585
475,504,497,2025-04-23,19F,First,Failed,17019
476,805,1520,2025-01-24,30A,First,Failed,16887
477,710,1904,2024-03-04,15C,Economy,Failed,9202
478,2373,2235,2024-09-21,38F,Economy,Failed,13834
479,388,1635,2024-01-06,13D,Economy,Pending,6817
480,240,936,2024-06-16,8E,Business,Pending,4864
481,1098,1269,2024-12-20,15F,First,Failed,7829
482,2079,2361,2024-06-21,10C,Business,Failed,8249
483,1340,819,2024-04-28,10A,Economy,Paid,7215
484,68,22,2024-08-13,4B,Economy,Pending,18041
485,1944,2116,2024-06-22,20E,Business,Pending,7112
486,1720,2440,2024-05-08,37C,First,Failed,15341
487,1673,1089,2024-07-05,29A,Economy,Paid,11838
488,291,1828,2024-03-03,30F,First,Failed,8339
489,975,1991,2024-09-30,20F,First,Pending,4385
490,2072,729,2025-08-20,26C,Economy,Pending,15449
491,415,1874,2024-07-28,33E,Business,Paid,13029
492,851,212,2024-07-11,32D,First,Failed,16782
493,2149,1774,2025-06-15,6E,Business,Paid,7298
494,546,200,2024-06-30,3D,First,Failed,14624
495,2087,987,2025-07-13,21E,First,Paid,14068
496,2259,178,2024-08-15,17A,Economy,Failed,5526
497,742,1447,2025-07-19,6B,Business,Failed,14350
498,1815,931,2025-09-05,37E,First,Failed,15703
499,592,2037,2024-03-29,2F,Business,Pending,3287
500,750,1486,2024-05-23,18E,First,Failed,16802
501,2220,2092,2025-10-21,3B,Business,Pending,6944
502,838,1455,2024-09-06,31E,Business,Paid,2360
503,2490,168,2024-08-12,29C,Economy,Failed,5464
504,534,2335,2025-11-03,12E,First,Pending,7044
505,365,2385,2024-06-16,28F,First,Paid,3850
506,367,586,2024-04-19,32A,First,Failed,7932
507,1774,1916,2024-06-21,31C,First,Paid,12916
508,2344,2231,2025-05-25,27C,Economy,Pending,5775
509,1653,16,2024-10-23,21F,Economy,Pending,14579
510,265,1604,2024-08-30,7B,First,Failed,2817
511,1062,837,2024-07-27,22D,Business,Pending,4146
512,2035,2158,2024-08-30,32C,Economy,Pending,9833
513,382,1577,2024-09-10,26E,Business,Paid,8014
